,date,minute,xauusd
3810565,2017-01-03,5.0,1151.8
3810570,2017-01-03,10.0,1150.9
3810575,2017-01-03,15.0,1150.8
3810580,2017-01-03,20.0,1149.7
3810585,2017-01-03,25.0,1149.5
3810590,2017-01-03,30.0,1150.0
3810595,2017-01-03,35.0,1150.3
3810600,2017-01-03,40.0,1149.9
3810605,2017-01-03,45.0,1149.7
3810610,2017-01-03,50.0,1149.6
3810615,2017-01-03,55.0,1149.9
3810620,2017-01-03,100.0,1150.0
3810625,2017-01-03,105.0,1150.5
3810630,2017-01-03,110.0,1150.5
3810635,2017-01-03,115.0,1150.4
3810640,2017-01-03,120.0,1150.6
3810645,2017-01-03,125.0,1150.2
3810654,2017-01-03,135.0,1150.2
3810659,2017-01-03,140.0,1150.3
3810664,2017-01-03,145.0,1149.7
3810669,2017-01-03,150.0,1149.7
3810673,2017-01-03,155.0,1150.0
3810678,2017-01-03,200.0,1150.3
3810683,2017-01-03,205.0,1154.3
3810688,2017-01-03,210.0,1154.9
3810693,2017-01-03,215.0,1154.7
3810698,2017-01-03,220.0,1154.6
3810703,2017-01-03,225.0,1155.6
3810708,2017-01-03,230.0,1155.1
3810713,2017-01-03,235.0,1155.8
3810718,2017-01-03,240.0,1155.6
3810723,2017-01-03,245.0,1155.6
3810727,2017-01-03,250.0,1155.6
3810732,2017-01-03,255.0,1155.8
3810737,2017-01-03,300.0,1156.3
3810742,2017-01-03,305.0,1155.4
3810747,2017-01-03,310.0,1154.8
3810752,2017-01-03,315.0,1156.2
3810757,2017-01-03,320.0,1157.3
3810766,2017-01-03,330.0,1157.9
3810771,2017-01-03,335.0,1157.3
3810776,2017-01-03,340.0,1157.3
3810781,2017-01-03,345.0,1157.2
3810786,2017-01-03,350.0,1157.1
3810791,2017-01-03,355.0,1156.7
3810800,2017-01-03,405.0,1156.1
3810805,2017-01-03,410.0,1156.5
3810808,2017-01-03,415.0,1156.5
3810813,2017-01-03,420.0,1156.3
3810817,2017-01-03,425.0,1156.4
3810822,2017-01-03,430.0,1157.0
3810827,2017-01-03,435.0,1156.9
3810832,2017-01-03,440.0,1156.3
3810837,2017-01-03,445.0,1156.5
3810842,2017-01-03,450.0,1156.3
3810846,2017-01-03,455.0,1156.4
3810850,2017-01-03,500.0,1156.6
3810855,2017-01-03,505.0,1157.1
3810858,2017-01-03,510.0,1157.0
3810863,2017-01-03,515.0,1157.0
3810868,2017-01-03,520.0,1156.9
3810872,2017-01-03,525.0,1156.6
3810877,2017-01-03,530.0,1157.0
3810882,2017-01-03,535.0,1156.9
3810887,2017-01-03,540.0,1156.9
3810892,2017-01-03,545.0,1156.7
3810897,2017-01-03,550.0,1156.7
3810902,2017-01-03,555.0,1156.8
3810906,2017-01-03,600.0,1157.1
3810911,2017-01-03,605.0,1157.1
3810916,2017-01-03,610.0,1157.0
3810920,2017-01-03,615.0,1156.8
3810925,2017-01-03,620.0,1156.7
3810934,2017-01-03,630.0,1156.7
3810939,2017-01-03,635.0,1157.0
3810943,2017-01-03,640.0,1156.8
3810948,2017-01-03,645.0,1156.9
3810953,2017-01-03,650.0,1157.0
3810957,2017-01-03,655.0,1157.3
3810962,2017-01-03,700.0,1157.4
3810967,2017-01-03,705.0,1157.6
3810972,2017-01-03,710.0,1157.9
3810977,2017-01-03,715.0,1157.7
3810982,2017-01-03,720.0,1157.7
3810987,2017-01-03,725.0,1157.8
3810996,2017-01-03,735.0,1158.4
3811001,2017-01-03,740.0,1157.7
3811005,2017-01-03,745.0,1157.8
3811010,2017-01-03,750.0,1157.6
3811015,2017-01-03,755.0,1157.0
3811020,2017-01-03,800.0,1157.1
3811025,2017-01-03,805.0,1156.5
3811030,2017-01-03,810.0,1156.0
3811035,2017-01-03,815.0,1155.7
3811040,2017-01-03,820.0,1155.4
3811045,2017-01-03,825.0,1155.2
3811050,2017-01-03,830.0,1152.2
3811055,2017-01-03,835.0,1153.1
3811060,2017-01-03,840.0,1153.1
3811065,2017-01-03,845.0,1152.9
3811070,2017-01-03,850.0,1153.2
3811075,2017-01-03,855.0,1152.5
3811080,2017-01-03,900.0,1152.9
3811085,2017-01-03,905.0,1152.8
3811090,2017-01-03,910.0,1152.9
3811095,2017-01-03,915.0,1154.1
3811100,2017-01-03,920.0,1153.4
3811105,2017-01-03,925.0,1152.6
3811110,2017-01-03,930.0,1151.1
3811115,2017-01-03,935.0,1150.7
3811120,2017-01-03,940.0,1150.5
3811125,2017-01-03,945.0,1151.3
3811130,2017-01-03,950.0,1152.0
3811135,2017-01-03,955.0,1151.8
3811140,2017-01-03,1000.0,1151.4
3811145,2017-01-03,1005.0,1150.9
3811149,2017-01-03,1010.0,1150.8
3811154,2017-01-03,1015.0,1151.2
3811159,2017-01-03,1020.0,1150.3
3811164,2017-01-03,1025.0,1150.2
3811169,2017-01-03,1030.0,1149.9
3811174,2017-01-03,1035.0,1148.7
3811179,2017-01-03,1040.0,1147.9
3811184,2017-01-03,1045.0,1148.2
3811189,2017-01-03,1050.0,1148.1
3811194,2017-01-03,1055.0,1148.1
3811199,2017-01-03,1100.0,1148.0
3811204,2017-01-03,1105.0,1147.6
3811209,2017-01-03,1110.0,1148.1
3811214,2017-01-03,1115.0,1147.9
3811219,2017-01-03,1120.0,1147.9
3811224,2017-01-03,1125.0,1147.6
3811229,2017-01-03,1130.0,1147.7
3811234,2017-01-03,1135.0,1148.2
3811239,2017-01-03,1140.0,1148.1
3811244,2017-01-03,1145.0,1148.1
3811249,2017-01-03,1150.0,1147.8
3811253,2017-01-03,1155.0,1147.7
3811258,2017-01-03,1200.0,1146.7
3811263,2017-01-03,1205.0,1147.1
3811268,2017-01-03,1210.0,1147.7
3811273,2017-01-03,1215.0,1147.5
3811278,2017-01-03,1220.0,1146.4
3811282,2017-01-03,1225.0,1146.3
3811287,2017-01-03,1230.0,1146.3
3811292,2017-01-03,1235.0,1146.6
3811297,2017-01-03,1240.0,1146.6
3811302,2017-01-03,1245.0,1146.5
3811305,2017-01-03,1250.0,1146.5
3811310,2017-01-03,1255.0,1147.7
3811315,2017-01-03,1300.0,1148.3
3811320,2017-01-03,1305.0,1148.4
3811324,2017-01-03,1310.0,1148.6
3811329,2017-01-03,1315.0,1148.0
3811334,2017-01-03,1320.0,1148.6
3811339,2017-01-03,1325.0,1148.3
3811344,2017-01-03,1330.0,1147.7
3811349,2017-01-03,1335.0,1147.2
3811354,2017-01-03,1340.0,1148.0
3811359,2017-01-03,1345.0,1148.0
3811364,2017-01-03,1350.0,1148.2
3811368,2017-01-03,1355.0,1148.0
3811373,2017-01-03,1400.0,1148.4
3811378,2017-01-03,1405.0,1149.7
3811383,2017-01-03,1410.0,1150.7
3811388,2017-01-03,1415.0,1151.0
3811393,2017-01-03,1420.0,1149.8
3811398,2017-01-03,1425.0,1149.6
3811403,2017-01-03,1430.0,1149.5
3811408,2017-01-03,1435.0,1150.4
3811413,2017-01-03,1440.0,1150.4
3811418,2017-01-03,1445.0,1150.2
3811423,2017-01-03,1450.0,1149.9
3811428,2017-01-03,1455.0,1149.8
3811433,2017-01-03,1500.0,1150.3
3811438,2017-01-03,1505.0,1150.6
3811443,2017-01-03,1510.0,1148.7
3811448,2017-01-03,1515.0,1146.8
3811453,2017-01-03,1520.0,1147.3
3811458,2017-01-03,1525.0,1148.4
3811463,2017-01-03,1530.0,1149.7
3811468,2017-01-03,1535.0,1151.0
3811473,2017-01-03,1540.0,1151.3
3811478,2017-01-03,1545.0,1152.6
3811483,2017-01-03,1550.0,1154.5
3811488,2017-01-03,1555.0,1154.6
3811493,2017-01-03,1600.0,1154.2
3811498,2017-01-03,1605.0,1150.7
3811503,2017-01-03,1610.0,1149.0
3811508,2017-01-03,1615.0,1147.8
3811513,2017-01-03,1620.0,1149.4
3811518,2017-01-03,1625.0,1149.9
3811523,2017-01-03,1630.0,1150.6
3811528,2017-01-03,1635.0,1149.9
3811533,2017-01-03,1640.0,1151.8
3811538,2017-01-03,1645.0,1151.4
3811543,2017-01-03,1650.0,1152.1
3811548,2017-01-03,1655.0,1153.5
3811553,2017-01-03,1700.0,1155.0
3811558,2017-01-03,1705.0,1155.7
3811563,2017-01-03,1710.0,1154.1
3811568,2017-01-03,1715.0,1156.0
3811573,2017-01-03,1720.0,1158.3
3811578,2017-01-03,1725.0,1158.7
3811583,2017-01-03,1730.0,1159.1
3811588,2017-01-03,1735.0,1159.0
3811593,2017-01-03,1740.0,1158.8
3811598,2017-01-03,1745.0,1161.6
3811603,2017-01-03,1750.0,1160.8
3811608,2017-01-03,1755.0,1160.1
3811613,2017-01-03,1800.0,1161.8
3811618,2017-01-03,1805.0,1161.5
3811623,2017-01-03,1810.0,1161.2
3811628,2017-01-03,1815.0,1161.5
3811633,2017-01-03,1820.0,1161.9
3811638,2017-01-03,1825.0,1160.7
3811643,2017-01-03,1830.0,1161.0
3811647,2017-01-03,1835.0,1160.1
3811652,2017-01-03,1840.0,1160.0
3811657,2017-01-03,1845.0,1159.7
3811662,2017-01-03,1850.0,1160.0
3811665,2017-01-03,1855.0,1159.9
3811670,2017-01-03,1900.0,1159.2
3811675,2017-01-03,1905.0,1159.6
3811680,2017-01-03,1910.0,1159.6
3811685,2017-01-03,1915.0,1159.3
3811690,2017-01-03,1920.0,1159.2
3811695,2017-01-03,1925.0,1159.5
3811700,2017-01-03,1930.0,1159.3
3811705,2017-01-03,1935.0,1159.6
3811710,2017-01-03,1940.0,1159.6
3811715,2017-01-03,1945.0,1159.8
3811720,2017-01-03,1950.0,1159.4
3811725,2017-01-03,1955.0,1159.0
3811730,2017-01-03,2000.0,1159.0
3811735,2017-01-03,2005.0,1157.8
3811740,2017-01-03,2010.0,1157.5
3811745,2017-01-03,2015.0,1157.7
